slot	gl_symbol	stub_symbol
213	glAccum	Accum
342	glActiveTexture	ActiveTexture
342	glActiveTextureARB	ActiveTexture
240	glAlphaFunc	AlphaFunc
322	glAreTexturesResident	AreTexturesResident
306	glArrayElement	ArrayElement
7	glBegin	Begin
307	glBindTexture	BindTexture
8	glBitmap	Bitmap
336	glBlendColor	BlendColor
337	glBlendEquation	BlendEquation
241	glBlendFunc	BlendFunc
2	glCallList	CallList
3	glCallLists	CallLists
203	glClear	Clear
204	glClearAccum	ClearAccum
206	glClearColor	ClearColor
208	glClearDepth	ClearDepth
205	glClearIndex	ClearIndex
207	glClearStencil	ClearStencil
343	glClientActiveTexture	ClientActiveTexture
343	glClientActiveTextureARB	ClientActiveTexture
150	glClipPlane	ClipPlane
9	glColor3b	Color3b
10	glColor3bv	Color3bv
11	glColor3d	Color3d
12	glColor3dv	Color3dv
13	glColor3f	Color3f
14	glColor3fv	Color3fv
15	glColor3i	Color3i
16	glColor3iv	Color3iv
17	glColor3s	Color3s
18	glColor3sv	Color3sv
19	glColor3ub	Color3ub
20	glColor3ubv	Color3ubv
21	glColor3ui	Color3ui
22	glColor3uiv	Color3uiv
23	glColor3us	Color3us
24	glColor3usv	Color3usv
25	glColor4b	Color4b
26	glColor4bv	Color4bv
27	glColor4d	Color4d
28	glColor4dv	Color4dv
29	glColor4f	Color4f
30	glColor4fv	Color4fv
31	glColor4i	Color4i
32	glColor4iv	Color4iv
33	glColor4s	Color4s
34	glColor4sv	Color4sv
35	glColor4ub	Color4ub
36	glColor4ubv	Color4ubv
37	glColor4ui	Color4ui
38	glColor4uiv	Color4uiv
39	glColor4us	Color4us
40	glColor4usv	Color4usv
210	glColorMask	ColorMask
151	glColorMaterial	ColorMaterial
308	glColorPointer	ColorPointer
1609	glColorSubTable	ColorSubTable
1602	glColorTable	ColorTable
1603	glColorTableParameterfv	ColorTableParameterfv
1604	glColorTableParameteriv	ColorTableParameteriv
376	glCompressedTexImage1D	CompressedTexImage1D
377	glCompressedTexImage2D	CompressedTexImage2D
378	glCompressedTexImage3D	CompressedTexImage3D
379	glCompressedTexSubImage1D	CompressedTexSubImage1D
380	glCompressedTexSubImage2D	CompressedTexSubImage2D
381	glCompressedTexSubImage3D	CompressedTexSubImage3D
1611	glConvolutionFilter1D	ConvolutionFilter1D
1612	glConvolutionFilter2D	ConvolutionFilter2D
1613	glConvolutionParameterf	ConvolutionParameterf
1614	glConvolutionParameterfv	ConvolutionParameterfv
1615	glConvolutionParameteri	ConvolutionParameteri
1616	glConvolutionParameteriv	ConvolutionParameteriv
1610	glCopyColorSubTable	CopyColorSubTable
1605	glCopyColorTable	CopyColorTable
1617	glCopyConvolutionFilter1D	CopyConvolutionFilter1D
1618	glCopyConvolutionFilter2D	CopyConvolutionFilter2D
255	glCopyPixels	CopyPixels
